"TRUMATCH 13-e4","13-e4","#d0cb98"
"TRUMATCH 13-a7","13-a7","#a99f11"
"TRUMATCH 13-b7","13-b7","#aaa137"
"TRUMATCH 13-c7","13-c7","#aba451"
"TRUMATCH 14-a","14-a","#e4dd00"
"TRUMATCH 14-b","14-b","#eae23e"
"TRUMATCH 14-c","14","#ede769"
"TRUMATCH 14-d","14-d","#f0ec90"
"TRUMATCH 14-e","14-e","#f5f2b3"
"TRUMATCH 14-f","14-f","#f7f6d1"
"TRUMATCH 14-g","14-g","#fcfced"
"TRUMATCH 14-a1","14-a1","#dad400"
"TRUMATCH 14-b1","14-b1","#dfd93e"
"TRUMATCH 14-c1","14-c1","#e2dd66"
"TRUMATCH 14-d1","14-d1","#e6e28c"
"TRUMATCH 14-e1","14-e1","#eae8ac"
"TRUMATCH 14-f1","14-f1","#edecc9"
"TRUMATCH 14-d5","14-d5","#b8b875"
"TRUMATCH 14-e5","14-e5","#bcbd8f"
"TRUMATCH 14-a2","14-a2","#cfca00"
"TRUMATCH 14-b2","14-b2","#d4ce3d"
"TRUMATCH 14-c2","14-c2","#d6d363"
"TRUMATCH 14-d2","14-d2","#dad886"
"TRUMATCH 14-e2","14-e2","#dedda5"
"TRUMATCH 14-a5","14-a5","#afac10"
"TRUMATCH 14-b5","14-b5","#b3b03b"
"TRUMATCH 14-c5","14-c5","#b5b459"
"TRUMATCH 14-a3","14-a3","#c4c000"
"TRUMATCH 14-b3","14-b3","#c9c53c"
